stress_threshold,reversion_threshold,vix_bull_fragile,gex_override,pos_stress,pos_reversion,pos_fragile,pos_quiet,pos_neutral,sharpe_ratio,total_return,max_drawdown,num_trades,avg_position
0.94,1.02,15,True,0.0,1.0,0.6,1.0,0.3,0.8263225389491473,4.146693995937938,-0.1980453099771028,613,0.741920731707317
0.94,1.02,15,True,0.0,1.0,0.6,1.0,0.7,0.8263225389491473,4.146693995937938,-0.1980453099771028,613,0.741920731707317
0.94,1.02,15,True,0.0,1.0,0.6,1.0,0.5,0.8263225389491473,4.146693995937938,-0.1980453099771028,613,0.741920731707317
0.94,1.0,25,True,0.0,1.0,0.6,1.0,0.7,0.8260686213528885,5.4460003115770625,-0.21065730691984325,296,0.9033536585365853
0.94,1.0,25,True,0.0,1.0,0.6,1.0,0.3,0.8260686213528885,5.4460003115770625,-0.21065730691984325,296,0.9033536585365853
0.94,1.0,25,True,0.0,1.0,0.6,1.0,0.5,0.8260686213528885,5.4460003115770625,-0.21065730691984325,296,0.9033536585365853
0.94,1.02,30,True,0.0,1.0,0.8,0.9,0.7,0.8259236005145622,5.359307556177603,-0.216868835160248,427,0.8490599593495937
0.94,1.02,30,True,0.0,1.0,0.8,0.9,0.5,0.8259236005145622,5.359307556177603,-0.216868835160248,427,0.8490599593495937
0.94,1.02,30,True,0.0,1.0,0.8,0.9,0.3,0.8259236005145622,5.359307556177603,-0.216868835160248,427,0.8490599593495937
0.94,1.06,25,True,0.0,1.0,0.5,0.9,0.3,0.8258856281015347,5.576900509485653,-0.20884663994642594,480,0.8734502032520327
0.94,1.06,25,True,0.0,1.0,0.5,0.9,0.5,0.8258856281015347,5.576900509485653,-0.20884663994642594,480,0.8734502032520327
0.94,1.06,25,True,0.0,1.0,0.5,0.9,0.7,0.8258856281015347,5.576900509485653,-0.20884663994642594,480,0.8734502032520327
0.94,1.02,15,True,0.0,0.9,0.8,1.0,0.7,0.8256165457239871,4.755013518139733,-0.198968303928099,638,0.8303861788617888
0.94,1.02,15,True,0.0,0.9,0.8,1.0,0.3,0.8256165457239871,4.755013518139733,-0.198968303928099,638,0.8303861788617888
0.94,1.02,15,True,0.0,0.9,0.8,1.0,0.5,0.8256165457239871,4.755013518139733,-0.198968303928099,638,0.8303861788617888
0.94,1.02,35,True,0.0,1.0,0.8,0.9,0.7,0.8255076371436083,5.393740839570467,-0.2196840267671686,419,0.8503810975609758
0.94,1.02,35,True,0.0,1.0,0.8,0.9,0.3,0.8255076371436083,5.393740839570467,-0.2196840267671686,419,0.8503810975609758
0.94,1.02,35,True,0.0,1.0,0.8,0.9,0.5,0.8255076371436083,5.393740839570467,-0.2196840267671686,419,0.8503810975609758
0.94,1.06,25,True,0.1,1.0,0.6,1.0,0.7,0.8254822445698944,6.164780434704969,-0.20882875455435593,190,0.9542936991869918
0.94,1.06,25,True,0.1,1.0,0.6,1.0,0.3,0.8254822445698944,6.164780434704969,-0.20882875455435593,190,0.9542936991869918
0.94,1.06,25,True,0.1,1.0,0.6,1.0,0.5,0.8254822445698944,6.164780434704969,-0.20882875455435593,190,0.9542936991869918
0.94,1.06,25,True,0.0,0.9,0.6,1.0,0.7,0.8254453714419321,5.679094809093543,-0.1981455030202599,480,0.9314786585365854
0.94,1.06,25,True,0.0,0.9,0.6,1.0,0.5,0.8254453714419321,5.679094809093543,-0.1981455030202599,480,0.9314786585365854
0.94,1.06,25,True,0.0,0.9,0.6,1.0,0.3,0.8254453714419321,5.679094809093543,-0.1981455030202599,480,0.9314786585365854
0.94,1.02,25,True,0.0,0.9,0.7,1.0,0.3,0.8253185327931698,5.491404727374638,-0.20512608035097607,455,0.9130335365853658
0.94,1.02,25,True,0.0,0.9,0.7,1.0,0.5,0.8253185327931698,5.491404727374638,-0.20512608035097607,455,0.9130335365853658
0.94,1.02,25,True,0.0,0.9,0.7,1.0,0.7,0.8253185327931698,5.491404727374638,-0.20512608035097607,455,0.9130335365853658
0.94,1.02,15,True,0.1,1.0,0.7,1.0,0.7,0.8253123028227916,4.564152093409784,-0.201496953262673,613,0.7967733739837397
