Date,BULL_QUIET,POST_PANIC_REVERSION,BULL_FRAGILE
1990-09-24,0.0005598848787220683,0.9728396620006409,0.026600453120637246
1990-09-25,0.013333143862386182,0.965844717570728,0.020822138566886084
1990-09-26,0.01557440403700216,0.9682864339629692,0.01613916200002846
1990-09-27,0.006223839578842075,0.9766919688044011,0.01708419161675665
1990-09-28,0.0033792987392015058,0.9734826924244945,0.023138008836304416
1990-10-01,4.054659755296699e-06,0.8514396621140966,0.14855628322614806
1990-10-02,0.0497556462780038,0.8853546420743066,0.06488971164768942
1990-10-03,0.017972805894890122,0.9324236840073021,0.04960351009780747
1990-10-04,0.07831007477077004,0.898757460255778,0.022932464973451742
1990-10-05,0.14563923792761535,0.8426801184262217,0.011680643646162846
1990-10-08,0.22952544032188246,0.7632883314725147,0.007186228205603195
1990-10-09,4.0980418638161217e-05,0.9357730725465044,0.06418594703485751
1990-10-10,0.001711082039065754,0.9348352581581576,0.06345365980277679
1990-10-11,0.0012002808913359013,0.9296206995327471,0.06917901957591696
1990-10-12,0.004598715859211125,0.9314809082730746,0.0639203758677142
1990-10-15,0.021094593381339802,0.9384741110567645,0.04043129556189595
1990-10-16,0.0051796208446875745,0.9566419933544403,0.03817838580087178
1990-10-17,0.06013037899009404,0.9223189498036749,0.017550671206230863
1990-10-18,0.0004435147048864474,0.9452926993245315,0.05426378597058204
1990-10-19,0.00025248906562024145,0.894224634873504,0.10552287606087557
1990-10-22,0.03323996990674884,0.9128765499446788,0.05388348014857234
1990-10-23,0.0461151111250811,0.9236701718773844,0.030214716997534603
1990-10-24,0.13574138472897862,0.8505998288969058,0.013658786374115627
1990-10-25,0.12278750135495217,0.8672847397014412,0.00992775894360703
1990-10-26,0.00427076877740049,0.9754659213949889,0.020263309827610716
1990-10-29,0.016196917444303443,0.9691719973171401,0.014631085238556194
1990-10-30,0.055160585322034876,0.9351343455366397,0.00970506914132548
1990-10-31,0.1475816126986201,0.8464940080480682,0.005924379253311686
1990-11-01,0.1409175926444999,0.8526613501049927,0.0064210572505069745
1990-11-02,0.029027094891663198,0.9590398820108076,0.011933023097529305
1990-11-05,0.05563812736101303,0.9351505991300825,0.009211273508904362
1990-11-06,0.041746906357683335,0.9495127151736408,0.008740378468676143
1990-11-07,0.0015042894110229056,0.9797438259407195,0.018751884648257663
1990-11-08,0.04648074091334948,0.9427694089028273,0.010749850183823385
1990-11-09,0.0021214837159298943,0.9732126806649862,0.024665835619084038
1990-11-12,0.0016555170023525826,0.9629475071694199,0.035396975828227574
1990-11-13,0.03165946325306165,0.9494726640299627,0.01886787271697603
1990-11-14,0.06018119555058369,0.9273010992902264,0.012517705159189776
1990-11-15,0.03282005092413044,0.9556477700812896,0.01153217899458017
1990-11-16,0.11154305279193828,0.8816836785779302,0.006773268630131318
1990-11-19,0.1741942466118735,0.8202364805738459,0.005569272814280556
1990-11-20,0.04380091646963681,0.9472550978544273,0.008943985675935915
1990-11-21,0.13014966078408405,0.8640649098957044,0.005785429320211257
1990-11-23,0.227588987246867,0.7680500387089868,0.004360974044146138
1990-11-26,0.3690032727173455,0.6276440799533244,0.003352647329330223
1990-11-27,0.5129834481207151,0.4844765193520969,0.002540032527187955
